epoch,loss,CE_NMSE_dB,DET_BER,PREC_SumRate,DEC_BER,LOC_RMSE_m,trainable_params,runtime_s
1,39.3915,-8.62,0.0003,1.7,0.1685,34.4,35087450,162.86
2,8.581,-11.24,0.0001,2.59,0.0583,28.24,35087450,197.41
3,4.0095,-11.64,0.0002,3.18,0.0288,21.72,35087450,207.83
4,2.7532,-11.89,0.0,3.43,0.0206,18.02,35087450,247.28
5,2.0621,-12.06,0.0001,3.84,0.0124,16.52,35087450,177.67
6,1.7517,-12.41,0.0,3.94,0.0095,15.93,35087450,188.34
7,1.5717,-12.63,0.0001,4.08,0.0089,15.82,35087450,236.63
8,1.4308,-12.72,0.0002,4.14,0.0071,15.49,35087450,170.79
9,1.3864,-12.76,0.0001,4.19,0.0076,15.36,35087450,193.47
10,1.3859,-12.77,0.0001,4.22,0.0071,15.31,35087450,175.22
