epoch,loss,CE_NMSE_dB,DET_BER,PREC_SumRate,DEC_BER,LOC_RMSE_m,trainable_params,runtime_s
1,3.5599,-7.95,0.0002,1.74,0.0524,34.21,8620180,120.66
2,2.3145,-10.18,0.0001,2.5,0.013,28.85,8620180,123.92
3,1.6697,-10.54,0.0001,3.19,0.0064,21.63,8620180,125.37
4,1.3594,-10.49,0.0001,3.4,0.0041,18.77,8620180,171.39
5,1.2165,-10.53,0.0001,3.78,0.0036,16.91,8620180,128.6
6,1.0185,-10.52,0.0001,3.75,0.003,15.99,8620180,133.78
7,0.9776,-10.52,0.0001,3.87,0.0029,15.67,8620180,152.68
8,0.9762,-10.57,0.0002,3.93,0.0027,15.15,8620180,130.79
9,0.9635,-10.58,0.0001,3.98,0.0023,15.16,8620180,130.45
10,1.0114,-10.58,0.0,3.99,0.0026,15.0,8620180,126.11
