epoch,train_loss,CE_NMSE_dB,DET_BER_MMSE_init,PREC_SumRate,DEC_BER,LOC_RMSE_m,trainable_params,runtime_s
1,37.5456,-9.779,0.00026,1.7477,0.183073,34.6452,34890586,139.48
2,8.4313,-12.7427,0.00013,2.385,0.06339,28.5593,34890586,158.48
3,4.0184,-13.235,0.00013,2.953,0.029861,21.181,34890586,151.91
4,2.6894,-13.5468,8.7e-05,3.1706,0.01556,17.8522,34890586,140.03
5,2.1542,-13.7954,8.7e-05,3.4886,0.012977,16.1525,34890586,145.01
6,1.8317,-13.8905,0.00013,3.6863,0.009288,15.4639,34890586,149.42
7,1.6783,-13.9852,0.000109,3.6881,0.007812,15.105,34890586,144.46
8,1.5908,-14.0408,8.7e-05,3.7394,0.007357,14.6843,34890586,143.87
9,1.5079,-14.0528,8.7e-05,3.822,0.006966,14.6005,34890586,142.88
10,1.4733,-14.0698,2.2e-05,3.8195,0.006988,14.5278,34890586,142.68
