epoch,train_loss,CE_NMSE_dB,DET_BER_MMSE_init,PREC_SumRate,DEC_BER,LOC_RMSE_m,trainable_params,runtime_s
1,33.1289,-10.7422,8.7e-05,1.6545,0.184397,36.153,35037525,143.28
2,7.2804,-12.7943,8.7e-05,2.281,0.065495,30.045,35037525,141.9
3,3.7514,-13.367,8.7e-05,2.863,0.030621,22.5031,35037525,143.63
4,2.6047,-13.7513,6.5e-05,3.1296,0.017318,17.4193,35037525,143.97
5,2.1886,-14.513,4.3e-05,3.3196,0.012391,15.9499,35037525,143.03
6,1.7694,-15.7722,0.000152,3.5143,0.010612,15.4358,35037525,142.02
7,1.543,-16.437,8.7e-05,3.6027,0.008247,14.9822,35037525,141.97
8,1.4644,-16.6641,8.7e-05,3.7164,0.007769,14.923,35037525,142.68
9,1.3842,-16.7205,0.00013,3.7234,0.006988,14.8197,35037525,144.24
10,1.3048,-16.7505,0.0,3.7553,0.006597,14.6398,35037525,143.01
