epoch,train_loss,CE_NMSE_dB,DET_BER_MMSE_init,PREC_SumRate,DEC_BER,LOC_RMSE_m,trainable_params,runtime_s
1,34.5414,-8.0231,0.000152,1.5849,0.080013,31.1445,8640789,143.35
2,14.782,-9.8115,4.3e-05,2.1335,0.037587,20.4387,8640789,166.34
3,9.5011,-11.7878,0.000109,2.6791,0.035503,17.5994,8640789,142.3
4,3.5744,-13.5211,8.7e-05,3.223,0.033941,16.3206,8640789,144.78
5,2.3522,-13.8747,0.000109,3.7976,0.026628,14.5141,8640789,143.88
6,1.9739,-14.0314,0.000152,4.151,0.020269,14.9509,8640789,144.22
7,1.7013,-14.1446,0.000152,4.3445,0.015082,13.7268,8640789,177.58
8,1.5582,-14.236,6.5e-05,4.4165,0.013802,13.3918,8640789,261.82
9,1.4685,-14.2522,6.5e-05,4.6244,0.011458,13.3568,8640789,179.89
10,1.4128,-14.2762,2.2e-05,4.667,0.010916,13.1231,8640789,143.74
